Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_abs,Pb207Pb206,Pb207Pb206_error_1s_abs,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U
404-59.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.773513106,0.084624371,0.073923241,0.001278631,1039.372774,34.91767643,1029.744545,14.14151049,110.4670821,113.1263858
404-37.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.501376547,0.057141699,0.075321735,0.000673452,1077.099704,17.94759301,1076.65166,10.3986953,460.3348071,369.5118168
404-71.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.264582463,0.062387822,0.076916562,0.000745543,1119.027203,19.33594796,1121.096548,12.32888884,154.870701,237.5935075
404-29.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.305866544,0.092609615,0.077135037,0.001993352,1124.683038,51.5088334,1113.084893,18.13465816,64.40024266,84.79328337
404-5.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.979044363,0.103758806,0.077463459,0.002265171,1133.146249,58.21183626,1179.840593,22.90548752,81.97149029,94.30073062
404-11.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.061781111,0.089470647,0.078095253,0.001231329,1149.297452,31.31302261,1162.193393,19.10717646,85.89612607,221.1685231
404-46.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.160331156,0.062141831,0.078097366,0.000744021,1149.35118,18.91999616,1141.851927,12.74244976,129.1957014,219.2522711
404-34.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.128517852,0.060603428,0.078131305,0.000841404,1150.213981,21.38439388,1148.339952,12.56629644,57.20916257,222.7674269
404-17.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.036898423,0.109801426,0.078221108,0.001440356,1152.494635,36.55256327,1167.444793,23.75312948,85.48008274,69.38385004
404-7.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.858750752,0.090201109,0.078518496,0.001220813,1160.023119,30.82975031,1206.478908,20.77966797,82.52410449,148.8686604
404-47.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.144425141,0.06576359,0.078637852,0.001055223,1163.034319,26.59587934,1145.086596,13.57112861,152.8541199,172.1562432
404-31.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.134718505,0.073987368,0.078771903,0.001129641,1166.409256,28.40903066,1147.069593,15.34443487,102.5348506,125.1444541
404-50.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.252470699,0.108532033,0.079197154,0.002123463,1177.066699,53.0330996,1123.468959,21.71685647,32.87099836,33.21845065
404-28.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.108194385,0.07432605,0.079287325,0.001229978,1179.317058,30.67349387,1152.523572,15.56396273,85.93074831,123.471099
404-52.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.014315886,0.056200843,0.079484914,0.000691953,1184.236685,17.20088404,1172.252118,12.13805969,12.09405755,289.6175103
404-4.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.051750462,0.084292564,0.080032286,0.000658662,1197.783539,16.22936609,1164.304615,18.05028649,81.16514378,371.2793094
404-6.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.875398616,0.093542284,0.080057075,0.001171379,1198.394217,28.85118118,1202.720637,21.42744209,85.58561581,130.269514
404-24.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.794538228,0.061768438,0.080106403,0.000929905,1199.608678,22.88553054,1221.198312,14.50313808,216.0764113,179.7862555
404-54.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.089630864,0.053757305,0.080342113,0.000481695,1205.3987,11.81011931,1156.371702,11.29040546,316.98879,446.1292291
404-40.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.088869456,0.053764671,0.080373407,0.000694488,1206.165764,17.01882323,1156.530089,11.2950848,173.0350434,336.7045109
404-39.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.107597455,0.060493181,0.08053542,0.001012493,1210.130851,24.74761666,1152.646913,12.63822722,192.0691345,216.9175226
404-61.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.880061992,0.080768448,0.080562965,0.001871225,1210.803973,45.71691195,1201.672082,18.42383216,61.39944685,62.41989279
404-16.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.534370476,0.10257788,0.082278216,0.002581374,1252.14707,61.38648041,1284.715972,26.90405196,86.49840503,63.76754549
404-43.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.491608602,0.061502946,0.084201587,0.001200851,1297.214599,27.72651455,1295.795762,16.27616507,73.26141673,138.1226305
404-27.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.603478851,0.068789936,0.0842959,0.001256706,1299.390649,28.97478092,1267.206051,17.42812553,89.18879177,117.8461167
404-63.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.552389733,0.060721898,0.084582191,0.000957975,1305.977153,21.99199024,1280.103829,15.67645283,129.2464016,132.2273358
404-18.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.646929789,0.089418942,0.084809795,0.001657782,1311.193271,37.92730879,1256.440008,22.35909639,78.24245198,121.5548596
404-30.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.556930727,0.059406683,0.085201295,0.001047833,1320.12393,23.83259679,1278.946769,15.30486099,179.917294,168.3262076
404-65.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.358937514,0.058407197,0.085639443,0.001222551,1330.057001,27.62575709,1331.425574,16.31676722,70.56745543,136.2474948
404-25.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.209999067,0.046966703,0.088793925,0.000821748,1399.718128,17.73700109,1373.842067,13.94411818,230.6451612,292.101219
404-2.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.062260517,0.092368381,0.089560916,0.002548263,1416.183529,54.40896352,1418.685123,29.56120871,85.81110999,64.78701491
404-33.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.989708373,0.063384827,0.09049652,0.001223764,1436.029441,25.78900354,1441.800657,20.82287359,54.45700088,96.91110495
404-44.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.902731099,0.042295817,0.091477631,0.000845325,1456.56496,17.57388394,1470.529103,14.38985644,316.4973975,300.73434
404-38.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.944367721,0.058675853,0.091901573,0.001109858,1465.352917,22.93968288,1456.634499,19.65785623,72.7786265,109.3834296
404-68.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.793903203,0.055073461,0.095074626,0.001149808,1529.552713,22.77576701,1508.135932,19.77740249,45.66289417,104.1765624
404-13.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.446587348,0.087514894,0.100353537,0.003517032,1630.64495,65.13497761,1642.239142,37.6603865,89.84174484,44.21493012
404-48.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.579253818,0.041748952,0.100367299,0.000533625,1630.899802,9.88098516,1588.278582,16.59254428,40.57238756,386.4102421
404-56.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.376611476,0.055773912,0.101376083,0.001510762,1649.463733,27.62994882,1672.213406,24.69060412,86.41365461,65.48079278
404-26.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.467457534,0.037626186,0.102177631,0.000716154,1664.051749,12.97057728,1633.507405,15.81038806,138.59637,327.862733
404-23.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.367687009,0.04312296,0.102521763,0.001042442,1670.271526,18.80180403,1676.115515,19.11597597,125.3203732,181.8816055
404-35.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.441492945,0.036580046,0.10338515,0.000652759,1685.763336,11.65204338,1644.384825,15.57409253,207.7736933,331.9645921
404-69.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.368638264,0.040940914,0.103629124,0.000767094,1690.112066,13.65320116,1675.698719,18.12904879,187.0213697,204.6401677
404-22.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.404723581,0.059256537,0.104177762,0.000831043,1699.845297,14.69538462,1660.040292,25.87064821,79.82576706,239.7664639
404-64.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.325234057,0.049790933,0.104838245,0.001119823,1711.479236,19.64826546,1694.931129,22.61656966,97.89536298,89.32084428
404-57.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.353761062,0.04853076,0.105017029,0.001096576,1714.612873,19.20004445,1682.241176,21.70389507,62.06929445,93.85443706
404-51.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.159389437,0.078496611,0.1053206,0.003034121,1719.918668,52.93620566,1772.696218,39.36734951,83.34050711,22.18120773
404-42.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.293935316,0.060122218,0.105493665,0.00196995,1722.935089,34.30026306,1709.077459,27.85122377,61.02976528,65.02172657
404-70.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.25184462,0.04051069,0.106263824,0.000789005,1736.284993,13.61557662,1728.480298,19.0977203,149.5745688,184.5520948
404-36.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.248854401,0.060219241,0.106357999,0.001797375,1737.909244,30.98288481,1729.875595,28.58994984,91.17487276,69.21471383
404-45.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.2700638,0.040474034,0.106869472,0.00074676,1746.699987,12.79686392,1720.027546,18.89193482,111.8507225,187.6072277
404-53.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.114577165,0.055338026,0.109749537,0.001668041,1795.254221,27.66730287,1794.956795,28.27810705,54.46204528,50.19653611
404-58.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.131927845,0.037251058,0.110299986,0.000731628,1804.356442,12.06123669,1786.271386,18.75240439,112.1267866,229.5670265
404-19.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.088766712,0.063741163,0.112562792,0.001646289,1841.199252,26.47491028,1808.035444,33.136005,82.4283603,88.5789113
404-67.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,2.94401807,0.037275497,0.113553304,0.000823143,1857.043343,13.09679915,1885.090602,20.92623487,96.04122514,176.2574728
404-3.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.092343807,0.078728119,0.114575459,0.002447581,1873.217988,38.52012206,1806.211422,41.02093697,88.06692365,41.95511853
404-62.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,2.253812547,0.030558117,0.157907994,0.000960955,2433.382325,10.31266341,2367.150057,27.17361577,55.26556704,136.8320811
404-10.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,2.100226046,0.039902376,0.164909626,0.001123375,2506.631983,11.45912599,2510.427378,40.14534135,89.37612155,137.3930139
404-55.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,1.924734151,0.02348226,0.196092359,0.000822709,2793.945761,6.867442269,2697.281117,27.16543446,110.5137489,185.9269483
404-49.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.85338634,0.119825924,0.06825683,0.003238489,876.3626737,98.21574808,1016.744761,19.62809026,67.44109752,48.73152674
404-20.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.617555189,0.107950776,0.072211977,0.001940176,991.9208802,54.63134657,1056.11246,19.05828643,84.76449763,130.9167191
404-66.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.244025133,0.089617099,0.074113202,0.001824628,1044.551668,49.66160707,1125.129213,17.92510478,62.26381718,61.7087942
404-15.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.017468141,0.112222142,0.075360188,0.002211811,1078.124162,58.90601064,1171.578689,24.46233413,84.17891528,64.8749058
404-41.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.014932839,0.066488421,0.076358562,0.001137591,1104.486849,29.78355862,1172.120254,14.38401512,15.14177101,148.9702822
404-1.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.926877296,0.102008718,0.076979988,0.001453419,1120.671287,37.65477057,1191.246422,22.9546468,88.7047826,94.39688867
404-14.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.844179779,0.0945565,0.077447107,0.002038276,1132.725977,52.39525433,1209.787705,21.92240495,83.91357257,120.372756
404-17.2,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.493334654,0.118753797,0.078843068,0.002893578,1168.197914,72.68512835,1078.103057,21.8985552,85.96645882,73.8513216
404-32.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.239518167,0.052452158,0.079616078,0.00087578,1187.493757,21.72438313,1126.017221,10.43895569,376.0183164,441.7354179
404-12.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.140033355,0.108994634,0.081161653,0.001595182,1225.361459,38.60416605,1145.982954,22.70543765,89.35454997,81.61868848
404-60.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,5.176488687,0.090385717,0.081263448,0.00166436,1227.822967,40.21359112,1138.584816,18.52111737,60.84367766,57.98610109
404-21.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,4.157144414,0.076675506,0.091867498,0.00111314,1464.648454,23.01825042,1389.55435,23.44582289,80.84408609,154.4692057
404-8.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.49882574,0.093234102,0.106986655,0.002575497,1748.706741,44.07566298,1620.557658,39.10958309,87.90200788,38.4581961
404-9.1,Haines et al 2016,199404,-24.521337,128.3839884,Dean,3.461259405,0.074730182,0.10714885,0.001630493,1751.479884,27.85151541,1636.090838,31.80753866,89.66621722,79.65575757
